food0_AVE,food1_AVE,food2_AVE,genomeLength_AVE,markovBrainDeterministicGates_AVE,markovBrainGates_AVE,markovBrainGates_VAR,novelty_AVE,optimizeValue_AVE,repeated_AVE,score_AVE,switches_AVE,total_AVE,update
10.823333,63.476667,60.643333,10643.770000,4.540000,4.540000,2.210505,28.650000,59.071333,101.840000,59.071333,46.463333,124.120000,1820
35.113333,61.480000,61.276667,10274.960000,4.680000,4.680000,1.189495,28.073333,56.737333,96.313333,56.737333,47.156667,122.756667,1830
14.580000,65.256667,61.870000,10370.760000,4.280000,4.280000,0.789495,28.333333,57.784667,102.683333,57.784667,49.530000,127.126667,1840
21.096667,68.383333,64.710000,10645.700000,4.770000,4.770000,0.784949,29.930000,59.140667,104.000000,59.140667,52.823333,133.093333,1850
16.423333,64.276667,63.026667,10461.020000,4.960000,4.960000,0.806465,28.900000,57.378000,99.900000,57.378000,49.946667,127.303333,1860
25.563333,64.323333,63.010000,10543.920000,4.760000,4.760000,0.689293,28.940000,59.895333,98.076667,59.895333,48.170000,127.333333,1870
21.623333,59.423333,62.220000,9449.660000,4.490000,4.490000,0.717071,28.866667,63.356667,93.896667,63.356667,41.633333,121.643333,1880
18.810000,50.766667,59.106667,8621.920000,4.230000,4.230000,0.582929,27.280000,62.413333,82.500000,62.413333,33.900000,109.873333,1890
37.326667,50.173333,55.420000,9300.210000,4.490000,4.490000,1.343333,25.573333,57.312000,79.753333,57.312000,34.486667,105.593333,1900
29.970000,49.893333,56.093333,9324.300000,4.890000,4.890000,0.704949,27.283333,61.312667,79.880000,61.312667,31.910000,105.986667,1910
58.606667,43.226667,49.270000,9351.900000,4.890000,4.890000,0.401919,25.043333,57.114000,67.116667,57.114000,25.273333,92.496667,1920
